# nP: 100
# k: 9800
# h: 6
Particle num,x,y,vx,vy,ay,cellRow,cellCol,time(s)
39,153.484528,57.864079,12.008113,-4.767120,-9.800000,,0,0, 34.000053
40,536.263550,584.740723,22.633825,-13.665298,-9.800000,,3,3, 34.000053
41,542.453796,722.179138,18.985920,-10.575319,-9.800000,,4,3, 34.000053
42,694.542603,342.173401,18.921038,-28.086336,-9.800000,,2,4, 34.000053
43,399.357574,346.003387,9.774198,-20.273699,-9.800000,,2,2, 34.000053
44,76.116669,29.118099,5.954528,-21.697515,-9.800000,,0,0, 34.000053
45,260.401550,576.985657,23.905880,-30.746721,-9.800000,,3,1, 34.000053
46,187.971130,136.789017,5.746849,-32.108509,-9.800000,,0,1, 34.000053
47,147.497192,154.892990,27.490871,-9.280067,-9.800000,,0,0, 34.000053
48,650.953979,93.696922,7.214698,-8.712862,-9.800000,,0,4, 34.000053
49,488.669189,350.102509,23.106161,-6.423283,-9.800000,,2,3, 34.000053
50,67.070366,464.364380,1.408468,-29.332695,-9.800000,,2,0, 34.000053
51,53.355083,260.871307,10.994101,-4.497458,-9.800000,,1,0, 34.000053
52,586.608398,107.794632,14.072358,-8.065722,-9.800000,,0,3, 34.000053
53,602.048096,303.784851,7.951116,-31.179226,-9.800000,,1,3, 34.000053
54,743.371094,408.001221,28.558857,-23.513342,-9.800000,,2,4, 34.000053
55,612.651123,714.883728,25.615047,-5.316306,-9.800000,,4,3, 34.000053
56,126.772743,460.751343,20.718826,-19.204044,-9.800000,,2,0, 34.000053
57,736.385986,572.843750,-29.532921,-23.926954,-9.800000,,3,4, 34.000053
58,477.154419,142.642776,9.860820,-20.717945,-9.800000,,0,2, 34.000053
59,789.241272,419.990662,-19.917707,-16.524252,-9.800000,,2,4, 34.000053
60,698.072693,678.715820,22.154415,-10.521915,-9.800000,,4,4, 34.000053
61,202.253357,665.056458,17.149773,-20.101114,-9.800000,,4,1, 34.000053
62,402.400757,736.720093,27.543201,-26.436579,-9.800000,,4,2, 34.000053
63,388.799438,632.091370,1.470789,-21.779285,-9.800000,,3,2, 34.000053
64,651.478638,157.655746,2.398575,-22.940405,-9.800000,,0,4, 34.000053
65,601.644043,360.563446,20.610453,-11.502929,-9.800000,,2,3, 34.000053
66,226.094635,247.871124,18.035517,-29.700218,-9.800000,,1,1, 34.000053
67,604.000977,462.536224,15.509897,-23.085361,-9.800000,,2,3, 34.000053
68,756.368225,76.625015,-23.552643,-29.098646,-9.800000,,0,4, 34.000053
69,219.547455,732.742859,28.401331,-9.269462,-9.800000,,4,1, 34.000053
70,495.190887,174.638962,17.153111,-5.053207,-9.800000,,1,3, 34.000053
71,563.401123,744.117859,19.524170,-34.314758,-9.800000,,4,3, 34.000053
72,764.662720,221.321945,11.684884,-22.556210,-9.800000,,1,4, 34.000053
73,109.782906,398.057129,24.660580,-28.397017,-9.800000,,2,0, 34.000053
74,131.916824,532.592957,17.355379,-12.793363,-9.800000,,3,0, 34.000053
75,513.533752,587.641113,17.400141,-21.183733,-9.800000,,3,3, 34.000053
76,526.135498,583.568481,4.699064,-30.800333,-9.800000,,3,3, 34.000053
77,468.744446,451.306671,18.730988,-23.596016,-9.800000,,2,2, 34.000053
78,251.198563,318.706299,28.047134,-21.390402,-9.800000,,1,1, 34.000053
79,630.184509,633.075073,12.064055,-4.020187,-9.800000,,3,3, 34.000053
